model,benchmark,category,count,denominator,percentage
Goedel-32B,Putnam,Unresolved name,12057,118779,10.150784
Goedel-32B,Putnam,Type mismatch,16166,118779,13.610150
Goedel-32B,Putnam,Missing instance,6462,118779,5.440356
Goedel-32B,Putnam,Tactic failure,24855,118779,20.925416
Goedel-32B,Putnam,Unsolved goals,23128,118779,19.471455
Goedel-32B,Putnam,Termination failure,0,118779,0.000000
Goedel-32B,Putnam,Resource exhaustion,35218,118779,29.650022
Goedel-32B,miniF2F,Syntax error,22,6278,0.350430
Goedel-32B,miniF2F,Unresolved name,517,6278,8.235107
Goedel-32B,miniF2F,Type mismatch,906,6278,14.431348
Goedel-32B,miniF2F,Missing instance,264,6278,4.205161
Goedel-32B,miniF2F,Tactic failure,2381,6278,37.926091
Goedel-32B,miniF2F,Unsolved goals,2107,6278,33.561644
Goedel-32B,miniF2F,Termination failure,0,6278,0.000000
Goedel-32B,miniF2F,Resource exhaustion,81,6278,1.290220
Goedel-8B,FATE-H,Syntax error,618,15391,4.015334
Goedel-8B,FATE-H,Unresolved name,5341,15391,34.702099
Goedel-8B,FATE-H,Type mismatch,2799,15391,18.185953
Goedel-8B,FATE-H,Missing instance,2386,15391,15.502566
Goedel-8B,FATE-H,Tactic failure,2215,15391,14.391528
Goedel-8B,FATE-H,Unsolved goals,2001,15391,13.001105
Goedel-8B,FATE-H,Termination failure,5,15391,0.032487
Goedel-8B,FATE-H,Resource exhaustion,26,15391,0.168930
Goedel-8B,FATE-M,Syntax error,517,24327,2.125211
Goedel-8B,FATE-M,Unresolved name,6195,24327,25.465532
Goedel-8B,FATE-M,Type mismatch,3883,24327,15.961689
Goedel-8B,FATE-M,Missing instance,6876,24327,28.264891
Goedel-8B,FATE-M,Tactic failure,3732,24327,15.340979
Goedel-8B,FATE-M,Unsolved goals,3095,24327,12.722489
Goedel-8B,FATE-M,Termination failure,10,24327,0.041107
Goedel-8B,FATE-M,Resource exhaustion,19,24327,0.078103
Goedel-8B,ProofNet,Syntax error,1571,27703,5.670866
Goedel-8B,ProofNet,Unresolved name,6895,27703,24.889001
Goedel-8B,ProofNet,Type mismatch,5686,27703,20.524853
Goedel-8B,ProofNet,Missing instance,3686,27703,13.305418
Goedel-8B,ProofNet,Tactic failure,4916,27703,17.745371
Goedel-8B,ProofNet,Unsolved goals,4931,27703,17.799516
Goedel-8B,ProofNet,Termination failure,2,27703,0.007219
Goedel-8B,ProofNet,Resource exhaustion,16,27703,0.057755
Goedel-8B,Putnam,Syntax error,2555,106831,2.391628
Goedel-8B,Putnam,Unresolved name,12186,106831,11.406801
Goedel-8B,Putnam,Type mismatch,14994,106831,14.035252
Goedel-8B,Putnam,Missing instance,7777,106831,7.279722
Goedel-8B,Putnam,Tactic failure,22637,106831,21.189542
Goedel-8B,Putnam,Unsolved goals,21310,106831,19.947394
Goedel-8B,Putnam,Termination failure,4,106831,0.003744
Goedel-8B,Putnam,Resource exhaustion,25368,106831,23.745916
Goedel-8B,miniF2F,Syntax error,127,7815,1.625080
Goedel-8B,miniF2F,Unresolved name,383,7815,4.900832
Goedel-8B,miniF2F,Type mismatch,809,7815,10.351887
Goedel-8B,miniF2F,Missing instance,262,7815,3.352527
Goedel-8B,miniF2F,Tactic failure,3456,7815,44.222649
Goedel-8B,miniF2F,Unsolved goals,2734,7815,34.984005
Goedel-8B,miniF2F,Termination failure,0,7815,0.000000
Goedel-8B,miniF2F,Resource exhaustion,44,7815,0.563020
Kimina-Prover-Distill-8B,FATE-H,Syntax error,53,2371,2.235344
Kimina-Prover-Distill-8B,FATE-H,Unresolved name,911,2371,38.422606
Kimina-Prover-Distill-8B,FATE-H,Type mismatch,330,2371,13.918178
Kimina-Prover-Distill-8B,FATE-H,Missing instance,227,2371,9.574019
Kimina-Prover-Distill-8B,FATE-H,Tactic failure,479,2371,20.202446
Kimina-Prover-Distill-8B,FATE-H,Unsolved goals,360,2371,15.183467
Kimina-Prover-Distill-8B,FATE-H,Termination failure,10,2371,0.421763
Kimina-Prover-Distill-8B,FATE-H,Resource exhaustion,1,2371,0.042176
Kimina-Prover-Distill-8B,FATE-M,Syntax error,155,9105,1.702361
Kimina-Prover-Distill-8B,FATE-M,Unresolved name,2526,9105,27.742998
Kimina-Prover-Distill-8B,FATE-M,Type mismatch,1355,9105,14.881933
Kimina-Prover-Distill-8B,FATE-M,Missing instance,1044,9105,11.466227
Kimina-Prover-Distill-8B,FATE-M,Tactic failure,2673,9105,29.357496
Kimina-Prover-Distill-8B,FATE-M,Unsolved goals,1306,9105,14.343767
Kimina-Prover-Distill-8B,FATE-M,Termination failure,43,9105,0.472268
Kimina-Prover-Distill-8B,FATE-M,Resource exhaustion,3,9105,0.032949
Kimina-Prover-Distill-8B,ProofNet,Syntax error,225,5798,3.880648
Kimina-Prover-Distill-8B,ProofNet,Unresolved name,1982,5798,34.184201
Kimina-Prover-Distill-8B,ProofNet,Type mismatch,1021,5798,17.609521
Kimina-Prover-Distill-8B,ProofNet,Missing instance,581,5798,10.020697
Kimina-Prover-Distill-8B,ProofNet,Tactic failure,1114,5798,19.213522
Kimina-Prover-Distill-8B,ProofNet,Unsolved goals,872,5798,15.039669
Kimina-Prover-Distill-8B,ProofNet,Termination failure,0,5798,0.000000
Kimina-Prover-Distill-8B,ProofNet,Resource exhaustion,3,5798,0.051742
Kimina-Prover-Distill-8B,Putnam,Syntax error,195,21784,0.895152
Kimina-Prover-Distill-8B,Putnam,Unresolved name,3560,21784,16.342270
Kimina-Prover-Distill-8B,Putnam,Type mismatch,3339,21784,15.327763
Kimina-Prover-Distill-8B,Putnam,Missing instance,1637,21784,7.514690
Kimina-Prover-Distill-8B,Putnam,Tactic failure,7162,21784,32.877341
Kimina-Prover-Distill-8B,Putnam,Unsolved goals,5858,21784,26.891296
Kimina-Prover-Distill-8B,Putnam,Termination failure,0,21784,0.000000
Kimina-Prover-Distill-8B,Putnam,Resource exhaustion,33,21784,0.151487
Kimina-Prover-Distill-8B,miniF2F,Syntax error,20,5082,0.393546
Kimina-Prover-Distill-8B,miniF2F,Unresolved name,662,5082,13.026368
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,252,5082,4.958678
Kimina-Prover-Distill-8B,miniF2F,Missing instance,190,5082,3.738686
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,2828,5082,55.647383
Kimina-Prover-Distill-8B,miniF2F,Unsolved goals,1103,5082,21.704054
Kimina-Prover-Distill-8B,miniF2F,Termination failure,0,5082,0.000000
Kimina-Prover-Distill-8B,miniF2F,Resource exhaustion,27,5082,0.531287
Pythagoras-Prover-4B,FATE-H,Syntax error,303,11424,2.652311
Pythagoras-Prover-4B,FATE-H,Unresolved name,4520,11424,39.565826
Pythagoras-Prover-4B,FATE-H,Type mismatch,1981,11424,17.340686
Pythagoras-Prover-4B,FATE-H,Missing instance,1427,11424,12.491246
Pythagoras-Prover-4B,FATE-H,Tactic failure,1347,11424,11.790966
Pythagoras-Prover-4B,FATE-H,Unsolved goals,1837,11424,16.080182
Pythagoras-Prover-4B,FATE-H,Termination failure,5,11424,0.043768
Pythagoras-Prover-4B,FATE-H,Resource exhaustion,4,11424,0.035014
Pythagoras-Prover-4B,FATE-M,Syntax error,223,18138,1.229463
Pythagoras-Prover-4B,FATE-M,Unresolved name,5526,18138,30.466424
Pythagoras-Prover-4B,FATE-M,Type mismatch,3032,18138,16.716286
Pythagoras-Prover-4B,FATE-M,Missing instance,3343,18138,18.430919
Pythagoras-Prover-4B,FATE-M,Tactic failure,3271,18138,18.033962
Pythagoras-Prover-4B,FATE-M,Unsolved goals,2708,18138,14.929981
Pythagoras-Prover-4B,FATE-M,Termination failure,34,18138,0.187452
Pythagoras-Prover-4B,FATE-M,Resource exhaustion,1,18138,0.005513
Pythagoras-Prover-4B,ProofNet,Syntax error,663,23164,2.862200
Pythagoras-Prover-4B,ProofNet,Unresolved name,6797,23164,29.342946
Pythagoras-Prover-4B,ProofNet,Type mismatch,4879,23164,21.062856
Pythagoras-Prover-4B,ProofNet,Missing instance,2792,23164,12.053186
Pythagoras-Prover-4B,ProofNet,Tactic failure,3425,23164,14.785875
Pythagoras-Prover-4B,ProofNet,Unsolved goals,4582,23164,19.780694
Pythagoras-Prover-4B,ProofNet,Termination failure,4,23164,0.017268
Pythagoras-Prover-4B,ProofNet,Resource exhaustion,22,23164,0.094975
Pythagoras-Prover-4B,Putnam,Syntax error,1902,64329,2.956676
Pythagoras-Prover-4B,Putnam,Unresolved name,9486,64329,14.746071
Pythagoras-Prover-4B,Putnam,Type mismatch,11736,64329,18.243716
Pythagoras-Prover-4B,Putnam,Missing instance,3818,64329,5.935115
Pythagoras-Prover-4B,Putnam,Tactic failure,14465,64329,22.485971
Pythagoras-Prover-4B,Putnam,Unsolved goals,22676,64329,35.250043
Pythagoras-Prover-4B,Putnam,Termination failure,0,64329,0.000000
Pythagoras-Prover-4B,Putnam,Resource exhaustion,246,64329,0.382409
Pythagoras-Prover-4B,miniF2F,Syntax error,237,16965,1.396994
Pythagoras-Prover-4B,miniF2F,Unresolved name,1972,16965,11.623932
Pythagoras-Prover-4B,miniF2F,Type mismatch,2314,16965,13.639847
Pythagoras-Prover-4B,miniF2F,Missing instance,416,16965,2.452107
Pythagoras-Prover-4B,miniF2F,Tactic failure,5875,16965,34.630121
Pythagoras-Prover-4B,miniF2F,Unsolved goals,6085,16965,35.867963
Pythagoras-Prover-4B,miniF2F,Termination failure,0,16965,0.000000
Pythagoras-Prover-4B,miniF2F,Resource exhaustion,66,16965,0.389036
